월,평균플레이어,증감,증감률,피크플레이어
2022년 4월,26829.8,978.6,3.79%,40444
2022년 3월,25851.2,-2942.2,-10.22%,38568
2022년 2월,28793.5,-4828.1,-14.36%,44044
2022년 1월,33621.6,8669.9,34.75%,48151
2021년 12월,24951.7,1745.5,7.52%,39992
2021년 11월,23206.2,792.1,3.53%,35441
2021년 10월,22414.1,-1906.8,-7.84%,35687
2021년 9월,24320.9,-6246.2,-20.43%,36516
2021년 8월,30567.1,2087.6,7.33%,49612
2021년 7월,28479.5,6238.2,28.05%,41572
2021년 6월,22241.4,-933.2,-4.03%,36513
2021년 5월,23174.5,-3998.0,-14.71%,35440
2021년 4월,27172.6,-6008.4,-18.11%,42500
2021년 3월,33180.9,-5123.8,-13.38%,51990
2021년 2월,38304.7,-18861.9,-32.99%,59709
2021년 1월,57166.6,27545.8,93.00%,94479
2020년 12월,29620.7,15816.8,114.58%,89311
2020년 11월,13803.9,1743.9,14.46%,22453
2020년 10월,12060.0,-1449.3,-10.73%,18293
2020년 9월,13509.3,-3143.9,-18.88%,19609
2020년 8월,16653.3,-3302.1,-16.55%,23442
2020년 7월,19955.3,4745.9,31.20%,28908
2020년 6월,15209.4,-5277.8,-25.76%,24618
2020년 5월,20487.2,-9464.0,-31.60%,31679
2020년 4월,29951.2,2563.1,9.36%,44965
2020년 3월,27388.1,3690.9,15.58%,45512
2020년 2월,23697.2,-659.1,-2.71%,33885
2020년 1월,24356.2,207.7,0.86%,39046
2019년 12월,24148.6,13293.4,122.46%,38024
2019년 11월,10855.1,1922.7,21.53%,35053
2019년 10월,8932.4,-340.3,-3.67%,14194
2019년 9월,9272.7,-1745.9,-15.84%,14278
2019년 8월,11018.6,-4348.5,-28.30%,16327
2019년 7월,15367.1,3008.7,24.35%,24919
2019년 6월,12358.4,-115.7,-0.93%,24769
2019년 5월,12474.1,-67.6,-0.54%,21404
2019년 4월,12541.7,-624.9,-4.75%,19916
2019년 3월,13166.6,442.2,3.48%,19786
2019년 2월,12724.4,-2524.8,-16.56%,19330
2019년 1월,15249.1,4089.0,36.64%,24470
2018년 12월,11160.1,1657.1,17.44%,22842
2018년 11월,9503.0,-549.5,-5.47%,16133
2018년 10월,10052.6,-1712.9,-14.56%,16189
2018년 9월,11765.5,-5121.7,-30.33%,19826
2018년 8월,16887.2,303.1,1.83%,27255
2018년 7월,16584.1,-778.3,-4.48%,24692
2018년 6월,17362.4,-10183.1,-36.97%,30055
2018년 5월,27545.5,20015.9,265.83%,54212
2018년 4월,7529.6,-524.0,-6.51%,26926
2018년 3월,8053.6,-981.2,-10.86%,12668
2018년 2월,9034.8,-2672.3,-22.83%,14601
2018년 1월,11707.1,1883.0,19.17%,20139
2017년 12월,9824.1,1147.6,13.23%,18346
2017년 11월,8676.5,534.7,6.57%,17839
2017년 10월,8141.8,1272.5,18.52%,13654
2017년 9월,6869.3,-1978.2,-22.36%,10745
2017년 8월,8847.5,-6690.6,-43.06%,13774
2017년 7월,15538.2,6633.5,74.50%,28122
2017년 6월,8904.6,1022.0,12.97%,18718
2017년 5월,7882.6,229.1,2.99%,11896
2017년 4월,7653.6,-2039.5,-21.04%,11538
2017년 3월,9693.0,-194.9,-1.97%,17295
2017년 2월,9887.9,-1910.9,-16.20%,17590
2017년 1월,11798.9,3822.9,47.93%,24014
2016년 12월,7976.0,1097.0,15.95%,18787
2016년 11월,6878.9,-2378.2,-25.69%,13674
2016년 10월,9257.2,4884.8,111.72%,18675
2016년 9월,4372.4,-1135.3,-20.61%,7360
2016년 8월,5507.7,-3792.1,-40.78%,9367
2016년 7월,9299.8,1730.1,22.86%,21032
2016년 6월,7569.7,-2084.8,-21.59%,18642
2016년 5월,9654.5,-10188.9,-51.35%,20528
2016년 4월,19843.4,-15104.0,-43.22%,43286
2016년 3월,34947.5,33352.7,2091.45%,64256
2016년 2월,1594.7,1594.2,300989.87%,24496
2016년 1월,0.5,-0.1,-11.91%,3
2015년 12월,0.6,,,3
